Latitude Longitude Value
   70.500   71.500 -4.7297058105e+00
   70.500   71.750 -4.6652526855e+00
   70.500   72.000 -4.5832214355e+00
   70.500   72.250 -4.9132995605e+00
   70.500   72.500 -5.1799011230e+00
   70.250   71.500 -4.8078308105e+00
   70.250   71.750 -4.7531433105e+00
   70.250   72.000 -4.7033386230e+00
   70.250   72.250 -4.9650573730e+00
   70.250   72.500 -5.2257995605e+00
   70.000   71.500 -4.8136901855e+00
   70.000   71.750 -4.7941589355e+00
   70.000   72.000 -4.7433776855e+00
   70.000   72.250 -5.0090026855e+00
   70.000   72.500 -5.2970886230e+00
Latitude Longitude Value
   71.000   71.500 6.3195800781e-01
   71.000   71.750 8.5266113281e-01
   71.000   72.000 1.0186767578e+00
   71.000   72.250 8.8195800781e-01
   71.000   72.500 7.1789550781e-01
   70.750   71.500 7.0422363281e-01
   70.750   71.750 9.7375488281e-01
   70.750   72.000 1.2423095703e+00
   70.750   72.250 1.0528564453e+00
   70.750   72.500 8.6242675781e-01
   70.500   71.500 8.0871582031e-01
   70.500   71.750 1.2130126953e+00
   70.500   72.000 1.4844970703e+00
   70.500   72.250 1.2921142578e+00
   70.500   72.500 1.0753173828e+00
   70.250   71.500 6.7492675781e-01
   70.250   71.750 1.1124267578e+00
   70.250   72.000 1.5548095703e+00
   70.250   72.250 1.4268798828e+00
   70.250   72.500 1.2589111328e+00
   70.000   71.500 7.1887207031e-01
   70.000   71.750 1.1505126953e+00
   70.000   72.000 1.5977783203e+00
   70.000   72.250 1.4688720703e+00
   70.000   72.500 1.3692626953e+00
Latitude Longitude Value
   71.000   71.500 4.1764221191e+00
   71.000   71.750 4.0895080566e+00
   71.000   72.000 3.9967346191e+00
   71.000   72.250 3.8629455566e+00
   71.000   72.500 3.7242736816e+00
   70.750   71.500 4.0563049316e+00
   70.750   71.750 3.9098205566e+00
   70.750   72.000 3.7643127441e+00
   70.750   72.250 3.6090393066e+00
   70.750   72.500 3.4547424316e+00
   70.500   71.500 3.7633361816e+00
   70.500   71.750 3.5690002441e+00
   70.500   72.000 3.4215393066e+00
   70.500   72.250 3.2652893066e+00
   70.500   72.500 3.0904846191e+00
   70.250   71.500 3.5777893066e+00
   70.250   71.750 3.3902893066e+00
   70.250   72.000 3.2154846191e+00
   70.250   72.250 2.9508361816e+00
   70.250   72.500 2.7213439941e+00
   70.000   71.500 3.4840393066e+00
   70.000   71.750 3.2887268066e+00
   70.000   72.000 3.1119689941e+00
   70.000   72.250 2.8443908691e+00
   70.000   72.500 2.5563049316e+00
Latitude Longitude Value
   71.000   71.500 -4.1083526611e+00
   71.000   71.750 -4.0116729736e+00
   71.000   72.000 -3.9892120361e+00
   71.000   72.250 -4.3476104736e+00
   71.000   72.500 -4.7343292236e+00
   70.750   71.500 -3.6269073486e+00
   70.750   71.750 -3.4149932861e+00
   70.750   72.000 -3.2040557861e+00
   70.750   72.250 -3.5429229736e+00
   70.750   72.500 -3.8827667236e+00
   70.500   71.500 -3.0956573486e+00
   70.500   71.750 -2.7646026611e+00
   70.500   72.000 -2.5517120361e+00
   70.500   72.250 -2.8944854736e+00
   70.500   72.500 -3.2167510986e+00
   70.250   71.500 -2.8925323486e+00
   70.250   71.750 -2.5224151611e+00
   70.250   72.000 -2.1425323486e+00
   70.250   72.250 -2.3817901611e+00
   70.250   72.500 -2.6542510986e+00
   70.000   71.500 -2.7138214111e+00
   70.000   71.750 -2.3583526611e+00
   70.000   72.000 -1.9735870361e+00
   70.000   72.250 -2.2167510986e+00
   70.000   72.500 -2.4296417236e+00
Latitude Longitude Value
   71.000   71.500 1.0860366821e+01
   71.000   71.750 1.0812515259e+01
   71.000   72.000 1.0768569946e+01
   71.000   72.250 1.0895523071e+01
   71.000   72.500 1.1082046509e+01
   70.750   71.500 1.1021499634e+01
   70.750   71.750 1.1040054321e+01
   70.750   72.000 1.1059585571e+01
   70.750   72.250 1.1388687134e+01
   70.750   72.500 1.1716812134e+01
   70.500   71.500 1.1135757446e+01
   70.500   71.750 1.1220718384e+01
   70.500   72.000 1.1240249634e+01
   70.500   72.250 1.1573257446e+01
   70.500   72.500 1.1983413696e+01
   70.250   71.500 1.0994155884e+01
   70.250   71.750 1.1174819946e+01
   70.250   72.000 1.1413101196e+01
   70.250   72.250 1.1993179321e+01
   70.250   72.500 1.2512710571e+01
   70.000   71.500 1.1024429321e+01
   70.000   71.750 1.1261734009e+01
   70.000   72.000 1.1502944946e+01
   70.000   72.250 1.2090835571e+01
   70.000   72.500 1.2691421509e+01
Latitude Longitude Value
   71.000   71.500 -2.1612548828e-01
   71.000   71.750 8.4838867188e-03
   71.000   72.000 2.5262451172e-01
   71.000   72.250 6.5594482422e-01
   71.000   72.500 1.0875854492e+00
   70.750   71.500 1.2762451172e-01
   70.750   71.750 3.1610107422e-01
   70.750   72.000 5.0457763672e-01
   70.750   72.250 1.0602416992e+00
   70.750   72.500 1.6149291992e+00
   70.500   71.500 4.0399169922e-01
   70.500   71.750 6.2078857422e-01
   70.500   72.000 8.1121826172e-01
   70.500   72.250 1.3727416992e+00
   70.500   72.500 1.9127807617e+00
   70.250   71.500 6.2371826172e-01
   70.250   71.750 8.3367919922e-01
   70.250   72.000 1.0338745117e+00
   70.250   72.250 1.5084838867e+00
   70.250   72.500 2.0104370117e+00
   70.000   71.500 7.5946044922e-01
   70.000   71.750 9.2156982422e-01
   70.000   72.000 1.1246948242e+00
   70.000   72.250 1.6051635742e+00
   70.000   72.500 2.0612182617e+00
Latitude Longitude Value
   71.000   71.500 7.3556671143e+00
   71.000   71.750 7.6457061768e+00
   71.000   72.000 7.9542999268e+00
   71.000   72.250 8.4220733643e+00
   71.000   72.500 8.9201202393e+00
   70.750   71.500 7.7921905518e+00
   70.750   71.750 8.0275421143e+00
   70.750   72.000 8.2628936768e+00
   70.750   72.250 8.8849639893e+00
   70.750   72.500 9.5070343018e+00
   70.500   71.500 8.1896514893e+00
   70.500   71.750 8.4972686768e+00
   70.500   72.000 8.7345733643e+00
   70.500   72.250 9.3654327393e+00
   70.500   72.500 1.0022659302e+01
   70.250   71.500 8.6310577393e+00
   70.250   71.750 8.9699249268e+00
   70.250   72.000 9.3175811768e+00
   70.250   72.250 9.9054718018e+00
   70.250   72.500 1.0526565552e+01
   70.000   71.500 9.0890655518e+00
   70.000   71.750 9.4005889893e+00
   70.000   72.000 9.7531280518e+00
   70.000   72.250 1.0347854614e+01
   70.000   72.500 1.0929885864e+01
Latitude Longitude Value
   71.000   71.500 -8.7901306152e-01
   71.000   71.750 -4.6592712402e-01
   71.000   72.000 -5.2841186523e-02
   71.000   72.250 2.5672912598e-01
   71.000   72.500 5.2528381348e-01
   70.750   71.500 -5.7823181152e-01
   70.750   71.750 -3.2139587402e-01
   70.750   72.000 -6.3583374023e-02
   70.750   72.250 3.5731506348e-01
   70.750   72.500 7.7821350098e-01
   70.500   71.500 -4.3174743652e-01
   70.500   71.750 -2.1202087402e-01
   70.500   72.000 4.7744750977e-02
   70.500   72.250 4.7450256348e-01
   70.500   72.500 9.7450256348e-01
   70.250   71.500 -1.8955993652e-01
   70.250   71.750 1.9424438477e-02
   70.250   72.000 2.2352600098e-01
   70.250   72.250 7.9188537598e-01
   70.250   72.500 1.3407135010e+00
   70.000   71.500 -7.9193115234e-03
   70.000   71.750 1.7079162598e-01
   70.000   72.000 3.7782287598e-01
   70.000   72.250 9.5301818848e-01
   70.000   72.500 1.5340728760e+00
Latitude Longitude Value
   71.000   71.500 6.7450103760e+00
   71.000   71.750 6.9393463135e+00
   71.000   72.000 7.1649322510e+00
   71.000   72.250 7.6082916260e+00
   71.000   72.500 8.0838775635e+00
   70.750   71.500 7.2098541260e+00
   70.750   71.750 7.2967681885e+00
   70.750   72.000 7.3836822510e+00
   70.750   72.250 7.9120025635e+00
   70.750   72.500 8.4403228760e+00
   70.500   71.500 7.3827056885e+00
   70.500   71.750 7.4862213135e+00
   70.500   72.000 7.5741119385e+00
   70.500   72.250 8.1092681885e+00
   70.500   72.500 8.6649322510e+00
   70.250   71.500 7.3729400635e+00
   70.250   71.750 7.5213775635e+00
   70.250   72.000 7.6961822510e+00
   70.250   72.250 8.2518463135e+00
   70.250   72.500 8.8123931885e+00
   70.000   71.500 7.3787994385e+00
   70.000   71.750 7.5496978760e+00
   70.000   72.000 7.7274322510e+00
   70.000   72.250 8.2899322510e+00
   70.000   72.500 8.8553619385e+00
Latitude Longitude Value
   71.000   71.500 1.3748168945e+00
   71.000   71.750 1.3933715820e+00
   71.000   72.000 1.4353637695e+00
   71.000   72.250 1.6091918945e+00
   71.000   72.500 1.7957153320e+00
   70.750   71.500 1.4509887695e+00
